Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share
black wedding ring meaning,USD,2900,-17%,50%,Medium,38,0.12,1.36,< 1%
black wedding band meaning,USD,2900,-17%,50%,Medium,38,0.12,1.36,< 1%
tungsten wedding bands with diamonds,USD,2900,0%,0%,High,100,1.01,3.25,12%
women vintage wedding rings,USD,2900,0%,21%,High,100,0.74,2.60,3%
3 carat princess cut diamond engagement ring,USD,2900,-17%,0%,High,100,1.40,4.40,21%
beautiful rings for wedding,USD,2900,-17%,-17%,High,100,1.11,3.20,1%
indian gold jewellery shop near me,USD,2900,21%,21%,High,84,0.94,2.67,
vintage wedding bands for him,USD,2900,0%,24%,High,100,0.66,2.79,2%
buy 3 carat diamond ring,USD,2900,0%,300%,High,100,1.60,4.22,40%
black and diamond wedding band,USD,2900,-19%,-19%,High,100,1.48,6.04,43%
emerald wedding band for men,USD,2900,-19%,-19%,High,100,1.45,3.85,2%
marquise diamond ring 3 carat,USD,2900,-18%,125%,High,100,1.68,4.71,3%
marquise 3 carat diamond ring,USD,2900,-18%,125%,High,100,1.68,4.71,3%
emerald mens wedding ring,USD,2900,-19%,-19%,High,100,1.45,3.85,2%
emerald wedding ring men,USD,2900,-19%,-19%,High,100,1.45,3.85,2%
mens diamond engagement bands,USD,2900,-46%,0%,High,100,1.43,3.90,14%
mens jewellery store,USD,2900,-56%,0%,High,100,0.95,3.15,2%
three carat princess cut diamond ring,USD,2900,-17%,0%,High,100,1.40,4.40,21%
3 ct princess cut diamond,USD,2900,-17%,0%,High,100,1.40,4.40,21%
engagement rings for men with diamonds,USD,2900,-46%,0%,High,100,1.43,3.90,14%
3 ct princess cut diamond engagement ring,USD,2900,-17%,0%,High,100,1.40,4.40,21%
3 carat diamond princess cut ring,USD,2900,-17%,0%,High,100,1.40,4.40,21%
engagement men diamond ring,USD,2900,-46%,0%,High,100,1.43,3.90,14%
engagement rings diamond men,USD,2900,-46%,0%,High,100,1.43,3.90,14%
fancy cut,USD,2900,24%,24%,Low,3,0.44,3.07,
indian gold jewellery shops near me,USD,2900,21%,21%,High,84,0.94,2.67,
matching wedding ring bands,USD,2900,-17%,-33%,High,100,0.94,3.25,11%
old costume jewellery,USD,2900,0%,0%,High,100,0.14,1.10,< 1%
three carat princess cut diamond,USD,2900,-17%,0%,High,100,1.40,4.40,21%
vrai diamonds,USD,2400,0%,-33%,High,100,1.00,11.30,2%
platinum wedding rings,USD,2400,83%,83%,High,100,1.33,3.90,2%
inexpensive engagement rings,USD,2400,-47%,0%,High,100,1.26,4.94,4%
whiskey barrel rings,USD,2400,-16%,-16%,High,100,1.28,4.43,
carbon fiber wedding band,USD,2400,-21%,-21%,High,100,1.05,3.43,< 1%
selling wedding ring,USD,2400,21%,21%,Medium,54,3.10,9.94,
engagement rings under 500,USD,2400,0%,0%,High,100,0.85,3.46,5%
three stone diamond ring,USD,2400,-19%,53%,High,100,1.82,4.81,10%
affordable engagement rings for women,USD,2400,0%,46%,High,100,1.49,4.94,10%
white gold engagement rings for women,USD,2400,0%,0%,High,100,1.36,4.42,24%
yellow diamond earrings,USD,2400,-21%,0%,High,100,1.44,4.41,30%
salt and pepper diamond engagement ring,USD,2400,-45%,0%,High,100,1.69,5.24,< 1%
pink diamond earrings,USD,2400,-33%,-33%,High,100,1.31,4.12,50%
1 carat lab grown diamond,USD,2400,-21%,0%,High,99,1.58,4.67,3%
diamond dangle earrings,USD,2400,-21%,-21%,High,100,0.92,4.10,4%
small diamond hoop earrings,USD,2400,-21%,-21%,High,100,0.59,3.01,7%
half carat diamond earrings,USD,2400,-21%,0%,High,100,0.66,3.32,11%
wholesale diamonds usa,USD,2400,21%,21%,High,99,1.18,3.99,28%
emerald cut emerald ring,USD,2400,-21%,-47%,High,100,1.26,4.62,< 1%
expensive wedding rings,USD,2400,-21%,-21%,High,100,1.10,2.89,1%
vintage inspired engagement rings,USD,2400,-17%,26%,High,100,1.18,3.42,< 1%
2 carat moissanite ring,USD,2400,-33%,-16%,High,100,0.81,2.95,6%
lab grown pink diamond,USD,2400,-21%,19%,High,100,1.70,6.28,10%
purple engagement rings,USD,2400,-34%,-21%,High,100,1.34,4.20,2%
round solitaire engagement ring,USD,2400,-21%,-21%,High,100,1.93,5.94,1%
aquamarine and diamond ring,USD,2400,21%,0%,High,100,1.10,4.58,3%
1 carat diamond engagement ring,USD,2400,21%,53%,High,100,1.50,6.33,17%
green diamond ring,USD,2400,-33%,0%,High,100,1.12,3.30,10%
emerald green engagement ring,USD,2400,-34%,-21%,High,100,1.86,4.76,2%
affordable moissanite engagement rings,USD,2400,-19%,0%,High,100,1.12,3.35,3%
4 carat diamond earrings,USD,2400,-21%,0%,High,100,1.25,4.97,66%
unique diamond rings,USD,2400,-21%,0%,High,100,1.24,3.13,6%
1 carat oval diamond ring,USD,2400,-21%,0%,High,100,1.67,5.42,3%
2 carat radiant cut diamond ring,USD,2400,-17%,0%,High,100,2.00,5.83,< 1%
birthstone engagement rings,USD,2400,-16%,23%,High,100,1.32,3.99,< 1%
wide band engagement rings,USD,2400,-34%,-21%,High,100,1.50,3.75,11%
champagne diamond ring,USD,2400,-17%,0%,High,100,1.14,3.99,4%
canary diamond ring,USD,2400,-21%,-21%,High,100,1.39,3.26,2%
elegant engagement rings,USD,2400,-21%,0%,High,100,1.56,4.62,2%
wedding jewelry sets,USD,2400,0%,-21%,High,100,0.47,2.40,1%
aquamarine diamond ring,USD,2400,21%,0%,High,100,1.10,4.58,3%
black opal engagement ring,USD,2400,0%,0%,High,82,1.07,2.90,< 1%
men's jewelry brands,USD,2400,-21%,0%,High,100,0.94,2.68,< 1%
engagement rings for couples,USD,2400,0%,0%,High,100,1.13,3.50,3%
diamond cocktail rings,USD,2400,-21%,-21%,High,100,0.71,2.91,6%
ruby and diamond engagement ring,USD,2400,-17%,0%,High,100,1.85,4.74,1%
amethyst and diamond ring,USD,2400,-34%,-21%,High,100,1.04,4.53,4%
diamond flower earrings,USD,2400,0%,-17%,High,100,1.26,4.86,9%
18k gold wedding band,USD,2400,-21%,0%,High,100,1.20,3.86,3%
alternative wedding rings,USD,2400,0%,0%,High,100,0.80,2.88,< 1%
most expensive wedding ring,USD,2400,0%,-17%,High,100,0.96,2.77,< 1%
asscher cut engagement rings,USD,2400,-17%,26%,High,100,2.00,5.67,1%
cushion diamond,USD,2400,-33%,0%,High,100,1.70,6.53,1%
pear shaped engagement ring set,USD,2400,-34%,-34%,High,100,1.60,4.41,4%
pave band,USD,2400,-33%,0%,High,100,2.00,7.80,< 1%
mens carbon fiber wedding band,USD,2400,-21%,0%,High,100,1.20,3.70,< 1%
custom engagement rings near me,USD,2400,-19%,190%,Medium,37,2.75,10.62,< 1%
diamond wedding sets,USD,2400,-33%,-17%,High,100,1.00,4.94,79%
diamond band engagement ring,USD,2400,-21%,0%,High,100,1.92,6.30,5%
engagement ring deals,USD,2400,60%,310%,High,100,2.29,12.10,44%
2 carat round diamond ring,USD,2400,-17%,-17%,High,100,1.84,5.26,8%
bridal sets white gold,USD,2400,0%,-34%,High,100,0.74,3.89,51%
radiant ring,USD,2400,-33%,0%,High,100,1.80,5.15,< 1%
opal and diamond engagement ring,USD,2400,0%,0%,High,100,1.32,3.86,< 1%
teardrop diamond earrings,USD,2400,-70%,-16%,High,100,1.03,4.39,5%
rings for him,USD,2400,-46%,-19%,High,100,0.86,2.28,1%
pear diamond,USD,2400,0%,21%,High,100,2.17,7.15,1%
trillion cut diamond,USD,2400,-17%,0%,High,100,1.38,4.64,< 1%
vintage wedding ring sets,USD,2400,0%,-17%,High,100,0.82,2.85,4%
18k gold engagement ring,USD,2400,-58%,108%,High,100,1.95,7.00,4%
marquise wedding ring,USD,2400,-17%,50%,High,100,1.37,3.63,2%
two stone ring,USD,2400,-17%,0%,High,100,1.35,3.95,10%
diamond direct near me,USD,2400,-17%,85%,High,87,1.97,7.69,3%
filigree engagement ring,USD,2400,-21%,19%,High,100,1.50,4.26,2%
travel engagement ring,USD,2400,50%,50%,High,100,0.44,2.89,< 1%
hawaiian wedding rings,USD,2400,-16%,-16%,High,100,0.59,2.85,5%
tungsten rings for women,USD,2400,0%,0%,High,100,0.62,2.07,< 1%
3 ct engagement ring,USD,2400,-21%,0%,High,100,1.72,5.26,23%
large engagement rings,USD,2400,0%,0%,High,100,1.49,4.54,5%
two tone wedding band,USD,2400,0%,26%,High,100,1.05,3.78,22%
edwardian engagement rings,USD,2400,22%,175%,High,100,0.80,2.91,1%
moissanite oval ring,USD,2400,-16%,0%,High,100,1.00,3.52,< 1%
second hole earrings,USD,2400,-21%,-21%,High,100,0.63,2.46,
double wedding band,USD,2400,0%,0%,High,100,1.16,4.06,5%
black tungsten mens wedding band,USD,2400,-47%,46%,High,100,1.41,4.51,< 1%
natural engagement rings,USD,2400,-17%,0%,High,100,1.83,6.31,1%
gemstone wedding rings,USD,2400,0%,0%,High,100,1.00,3.07,< 1%
diamond cross ring,USD,2400,-21%,-21%,High,100,0.68,3.69,6%
best stones for engagement rings,USD,2400,-21%,19%,High,100,0.97,3.00,< 1%
cheap jewelry stores near me,USD,2400,26%,50%,High,100,0.39,2.48,1%
morganite ring rose gold,USD,2400,-21%,-34%,High,100,0.74,3.34,15%
gold marquise engagement ring,USD,2400,-34%,81%,High,100,1.68,4.33,1%
diamond wedding ring sets,USD,2400,-33%,-17%,High,100,1.00,4.94,79%
14k gold engagement ring,USD,2400,22%,238%,High,100,1.49,4.35,8%
engraved mens wedding band,USD,2400,-33%,0%,High,100,1.91,5.00,2%
diamond earring and necklace set,USD,2400,-56%,0%,High,100,0.72,4.45,66%
amethyst diamond ring,USD,2400,-34%,-21%,High,100,1.04,4.53,4%
vintage bridal sets,USD,2400,0%,-17%,High,100,0.82,2.85,4%
hawaiian wedding bands,USD,2400,-16%,-16%,High,100,0.59,2.85,5%
big wedding rings,USD,2400,-21%,-34%,High,100,1.19,2.86,4%
4ct diamond earrings,USD,2400,-21%,0%,High,100,1.25,4.97,66%
engagement ring jewelers,USD,2400,50%,125%,High,94,2.56,9.36,1%
gold band ring womens,USD,2400,-34%,0%,High,100,0.62,2.50,2%
turquoise and diamond ring,USD,2400,-21%,-21%,High,100,0.86,3.51,1%
cost of 1 carat diamond,USD,2400,-17%,0%,High,87,0.89,2.81,< 1%
best gemstones for engagement rings,USD,2400,-21%,19%,High,100,0.97,3.00,< 1%
wedding band for oval ring,USD,2400,-21%,0%,High,100,0.97,3.45,< 1%
diamond engagement ring sets,USD,2400,-33%,-17%,High,100,1.00,4.94,79%
unique marquise engagement ring,USD,2400,-33%,50%,High,100,1.59,4.02,1%
diamond cuff earrings,USD,2400,0%,0%,High,100,1.30,5.06,1%
blue sapphire and diamond ring,USD,2400,-17%,26%,High,100,1.27,5.21,5%
wedding band for emerald cut engagement ring,USD,2400,-17%,0%,High,100,1.25,4.34,1%
ugly engagement ring,USD,2400,-17%,0%,High,96,0.54,3.50,< 1%
double band wedding ring,USD,2400,0%,0%,High,100,1.16,4.06,5%
gold princess cut engagement rings,USD,2400,-34%,19%,High,100,1.41,4.03,4%
24 carat diamond,USD,2400,0%,0%,High,90,1.49,4.85,< 1%
yellow gold bridal set,USD,2400,0%,-34%,High,100,0.74,3.89,51%
blue mens wedding band,USD,2400,21%,0%,High,100,1.34,3.84,1%
turquoise diamond ring,USD,2400,-21%,-21%,High,100,0.86,3.51,1%
blue sapphire diamond ring,USD,2400,-17%,26%,High,100,1.27,5.21,5%
thunderfit rings,USD,2400,-21%,-21%,High,100,0.20,2.08,
bridal ring sets white gold,USD,2400,0%,-34%,High,100,0.74,3.89,51%
carbon fiber wedding ring,USD,2400,-21%,-21%,High,100,1.05,3.43,< 1%
2 ct radiant cut diamond ring,USD,2400,-17%,0%,High,100,2.00,5.83,< 1%
15 carat diamond ring,USD,2400,0%,53%,High,100,1.44,4.41,3%
pear shaped engagement ring with wedding band,USD,2400,-17%,0%,High,100,1.04,3.98,1%
marquise cut ring,USD,2400,-17%,85%,High,100,1.45,3.89,1%
cathedral setting,USD,2400,0%,53%,High,100,2.00,8.26,< 1%
1 ct oval diamond ring,USD,2400,-21%,0%,High,100,1.67,5.42,3%
marquise engagement ring with wedding band,USD,2400,-17%,0%,High,100,1.40,3.90,3%
white gold wedding sets,USD,2400,0%,-34%,High,100,0.74,3.89,51%
mens real diamond earrings,USD,2400,0%,0%,High,100,0.73,2.43,8%
ruby diamond engagement ring,USD,2400,-17%,0%,High,100,1.85,4.74,1%
black and gold mens ring,USD,2400,-21%,-21%,High,100,0.95,2.91,8%
gold and silver wedding band,USD,2400,-17%,0%,High,100,0.90,3.38,10%
alternative wedding bands,USD,2400,0%,0%,High,100,0.80,2.88,< 1%
platinum diamond wedding ring,USD,2400,83%,83%,High,100,1.33,3.90,2%
stone wedding rings,USD,2400,0%,0%,High,100,1.00,3.07,< 1%
wedding ring shopping,USD,2400,0%,-23%,High,92,2.68,9.12,2%
wedding rings under 500,USD,2400,0%,0%,High,100,0.85,3.46,5%
opal diamond engagement ring,USD,2400,0%,0%,High,100,1.32,3.86,< 1%
simple womens wedding band,USD,2400,21%,21%,High,100,0.87,3.19,2%
huge engagement rings,USD,2400,0%,0%,High,100,1.49,4.54,5%
elegant wedding rings,USD,2400,-21%,0%,High,100,1.56,4.62,2%
carbon fiber wedding band for him,USD,2400,-21%,0%,High,100,1.20,3.70,< 1%
princess diana wedding ring,USD,2400,0%,-33%,High,100,,,
black gold ring men,USD,2400,-21%,-21%,High,100,0.95,2.91,8%
two tone wedding ring,USD,2400,0%,26%,High,100,1.05,3.78,22%
male diamond wedding bands,USD,2400,-17%,-17%,High,100,0.95,3.36,61%
3 carat diamond ring for sale,USD,2400,86%,457%,High,85,1.80,4.57,36%
18k gold wedding ring,USD,2400,-21%,0%,High,100,1.20,3.86,3%
one carat diamond cost,USD,2400,-17%,0%,High,87,0.89,2.81,< 1%
gold indian jewelry,USD,2400,0%,-21%,High,100,0.36,1.65,< 1%
herkimer diamond jewelry,USD,2400,128%,817%,Medium,45,0.25,2.22,< 1%
black opal wedding rings,USD,2400,0%,0%,High,82,1.07,2.90,< 1%
blue wedding bands for him,USD,2400,21%,0%,High,100,1.34,3.84,1%
carbon fiber mens wedding ring,USD,2400,-21%,0%,High,100,1.20,3.70,< 1%
large wedding rings,USD,2400,0%,0%,High,100,1.49,4.54,5%
womens jewelry brands,USD,2400,-21%,90%,High,100,1.08,4.28,< 1%
gem wedding rings,USD,2400,0%,0%,High,100,1.00,3.07,< 1%
gold and silver wedding ring,USD,2400,-17%,0%,High,100,0.90,3.38,10%
affordable jewellery brands,USD,2400,-33%,-16%,High,100,0.55,2.41,< 1%
black tungsten wedding bands for him,USD,2400,-47%,46%,High,100,1.41,4.51,< 1%
mens wedding rings blue,USD,2400,21%,0%,High,100,1.34,3.84,1%
kim kardashian engagement ring,USD,2400,128%,247%,Medium,48,0.56,2.01,< 1%
2 tone wedding bands,USD,2400,0%,26%,High,100,1.05,3.78,22%
vintage bridal ring sets,USD,2400,0%,-17%,High,100,0.82,2.85,4%
pear cut engagement ring set,USD,2400,-34%,-34%,High,100,1.60,4.41,4%
women rubber wedding bands,USD,2400,26%,0%,High,100,0.41,2.21,< 1%
biggest wedding ring,USD,2400,-21%,-34%,High,100,1.19,2.86,4%
emrata engagement ring,USD,2400,0%,-93%,High,98,,,< 1%
inexpensive jewelry brands,USD,2400,-33%,-16%,High,100,0.55,2.41,< 1%
gold jewellery shop,USD,2400,0%,0%,High,100,1.18,3.92,< 1%
jewellery shopping,USD,2400,0%,50%,High,90,1.02,4.44,3%
beyonce wedding ring,USD,2400,-32%,-46%,High,69,,,< 1%
gold and black ring mens,USD,2400,-21%,-21%,High,100,0.95,2.91,8%
largest diamond,USD,2400,0%,26%,Low,30,1.40,4.00,
pawn jewellery near me,USD,2400,0%,19%,Medium,37,1.71,5.49,< 1%
diamond male wedding rings,USD,2400,-17%,-17%,High,100,0.95,3.36,61%
24k gold ring for men,USD,2400,-17%,0%,High,100,0.55,2.13,4%
emily ratajkowski ring,USD,2400,-70%,-80%,High,94,,,< 1%
antique bridal set,USD,2400,0%,-17%,High,100,0.82,2.85,4%
shank ring,USD,2400,0%,0%,High,81,1.53,7.00,< 1%
mens diamond rings wedding,USD,2400,-17%,-17%,High,100,0.95,3.36,61%
emma stone engagement ring,USD,2400,-63%,-87%,High,80,,,
etched mens wedding bands,USD,2400,-33%,0%,High,100,1.91,5.00,2%
quality jewelery,USD,2400,0%,0%,High,100,1.01,3.32,2%
cross mens ring,USD,2400,0%,0%,High,100,0.32,2.35,3%
sydney sweeney engagement ring,USD,2400,-34%,-56%,Low,23,,,
top jewerly brands,USD,2400,-34%,0%,High,100,1.08,3.75,2%
summer jewerly,USD,2400,238%,50%,High,100,0.29,1.45,
jewellery for sale near me,USD,2400,-16%,23%,High,100,0.42,3.13,12%
jewellery on sale near me,USD,2400,-16%,23%,High,100,0.42,3.13,12%
birthstone september jewellery,USD,2400,-18%,0%,High,100,0.69,2.95,
antique bridal set rings,USD,2400,0%,-17%,High,100,0.82,2.85,4%
3 ct diamond ring for sale,USD,2400,86%,457%,High,85,1.80,4.57,36%
antique bridal ring sets,USD,2400,0%,-17%,High,100,0.82,2.85,4%
diamond set wedding,USD,2400,-33%,-17%,High,100,1.00,4.94,79%
temple jewlery,USD,2400,0%,53%,High,100,0.56,3.22,
build engagement ring,USD,1900,0%,19%,High,86,2.61,7.00,< 1%
best online engagement rings,USD,1900,-63%,-12%,High,100,5.38,38.85,3%
cheapest lab grown diamonds,USD,1900,19%,46%,High,88,2.91,13.22,6%
salt and pepper engagement ring,USD,1900,-16%,-16%,High,100,1.32,4.48,< 1%
rose gold diamond earrings,USD,1900,-19%,-19%,High,100,0.84,4.66,6%
2 carat lab grown diamond ring,USD,1900,-21%,19%,High,100,2.00,6.27,42%
5 stone diamond ring,USD,1900,-16%,-16%,High,100,1.60,4.82,41%
man made diamond engagement rings,USD,1900,30%,30%,High,69,2.45,11.96,9%
diamond sale,USD,1900,-38%,-38%,High,95,2.26,10.70,15%
crystal engagement rings,USD,1900,-19%,-32%,High,100,0.79,2.79,< 1%
pave wedding band,USD,1900,-34%,0%,High,100,1.90,6.14,2%
best engagement ring stores,USD,1900,0%,0%,High,100,3.18,15.53,1%
oval wedding band,USD,1900,-16%,0%,High,100,1.61,5.62,1%
1.5 carat diamond earrings,USD,1900,-16%,0%,High,100,1.40,4.93,24%
blue topaz engagement ring,USD,1900,-33%,-16%,High,100,1.40,4.89,3%
baguette diamond band,USD,1900,0%,0%,High,100,1.40,4.11,7%
gold solitaire engagement ring,USD,1900,0%,0%,High,100,1.77,5.81,2%
twist engagement ring,USD,1900,-16%,-16%,High,100,2.00,10.92,2%
pear shaped diamond engagement ring,USD,1900,-47%,0%,High,100,2.00,7.80,3%
3 carat moissanite ring,USD,1900,-16%,-33%,High,100,0.74,3.00,10%
2 ct engagement rings,USD,1900,0%,0%,High,100,1.99,5.60,26%
1.5 carat oval diamond ring,USD,1900,-16%,-16%,High,100,1.99,5.91,2%
citrine engagement ring,USD,1900,-46%,-19%,High,100,1.36,4.76,2%
topaz engagement ring,USD,1900,-16%,-33%,High,100,1.03,3.79,1%
lashbrook rings,USD,1900,0%,0%,High,100,1.25,4.70,< 1%
cushion cut halo engagement rings,USD,1900,0%,0%,High,100,2.00,5.63,9%
oval diamond wedding band,USD,1900,-16%,0%,High,100,1.77,5.84,4%
vs2 diamond,USD,1900,0%,19%,High,100,0.97,3.50,5%
5 carat lab grown diamond,USD,1900,-17%,85%,High,100,1.50,4.51,3%
clearance engagement rings,USD,1900,50%,50%,High,100,0.61,5.06,44%
most popular engagement rings,USD,1900,-17%,85%,High,100,1.28,3.35,3%
vvs1 diamond,USD,1900,83%,175%,High,92,1.00,3.40,1%
diamond bridal sets,USD,1900,-21%,0%,High,100,1.21,6.01,68%
best wedding rings,USD,1900,-16%,-33%,High,100,1.50,5.15,5%
infinity wedding band,USD,1900,-16%,-33%,High,100,1.30,3.90,11%
women's moissanite rings,USD,1900,-21%,90%,High,100,0.94,3.50,1%
white gold band,USD,1900,-16%,-33%,High,100,0.99,3.25,6%
engagement ring creator,USD,1900,0%,19%,High,86,2.61,7.00,< 1%
twisted band engagement ring,USD,1900,0%,0%,High,100,1.94,6.75,3%
yellow gold diamond ring,USD,1900,0%,19%,High,100,1.41,4.54,12%
diamond cross earrings,USD,1900,0%,-32%,High,100,0.56,3.65,2%
vvs diamond earrings,USD,1900,-33%,0%,High,100,1.10,3.36,5%
synthetic diamond engagement rings,USD,1900,30%,30%,High,69,2.45,11.96,9%
double band engagement ring,USD,1900,-33%,-16%,High,100,1.94,6.02,5%
radiant cut diamond engagement rings,USD,1900,-80%,30%,High,100,2.42,7.72,2%
contour wedding band,USD,1900,0%,-21%,High,100,1.20,3.97,5%
round halo engagement rings,USD,1900,-21%,-21%,High,100,1.52,5.13,4%
1 carat princess cut diamond ring,USD,1900,-16%,-16%,High,100,1.19,4.17,7%
leaf engagement ring,USD,1900,26%,26%,High,100,1.73,4.95,< 1%
star wars wedding rings,USD,1900,0%,-33%,High,100,0.59,2.22,< 1%
3 carat solitaire diamond ring,USD,1900,19%,0%,High,100,1.48,4.42,29%
butterfly engagement ring,USD,1900,-16%,-16%,High,100,1.21,3.93,< 1%
white gold wedding ring sets,USD,1900,0%,0%,High,100,0.61,2.82,61%
gold jewellery online,USD,1900,-54%,0%,High,100,1.13,4.33,2%
cathedral engagement ring,USD,1900,-21%,0%,High,100,1.67,6.00,3%
1 carat emerald cut diamond ring,USD,1900,-32%,-19%,High,100,1.75,4.85,5%
2 carat oval engagement ring,USD,1900,0%,0%,High,100,2.00,6.12,7%
timeless engagement rings,USD,1900,-21%,19%,High,100,1.88,4.31,< 1%
5 carat engagement ring,USD,1900,0%,26%,High,100,1.84,4.52,9%
art deco wedding band,USD,1900,-21%,0%,High,100,1.05,3.65,< 1%
bridal rings,USD,1900,0%,0%,High,100,1.67,6.66,13%
vintage sapphire engagement rings,USD,1900,-16%,-16%,High,100,0.97,3.16,1%
princess cut halo engagement rings,USD,1900,0%,19%,High,100,1.53,5.41,5%
damascus ring,USD,1900,0%,-21%,High,100,1.00,3.50,< 1%
4 carat engagement ring,USD,1900,0%,19%,High,100,1.76,4.54,6%
silicone engagement ring,USD,1900,-16%,-16%,High,100,0.30,1.74,
twisted wedding band,USD,1900,0%,0%,High,100,1.78,6.43,5%
2.5 carat oval diamond ring,USD,1900,-16%,-16%,High,100,2.00,5.50,5%
princess cut wedding set,USD,1900,-33%,-33%,High,100,0.90,4.31,46%
cubic zirconia wedding rings,USD,1900,0%,0%,High,100,0.51,3.73,2%
diamond settings,USD,1900,-16%,-33%,High,100,1.33,4.27,7%
princess cut engagement ring set,USD,1900,-16%,-16%,High,100,1.43,4.14,36%
purple diamond ring,USD,1900,-16%,-16%,High,100,1.14,3.33,2%
synthetic diamond price,USD,1900,-21%,0%,High,77,1.29,4.15,2%
mens hammered wedding bands,USD,1900,0%,0%,High,100,1.58,4.56,13%
carbon fiber mens ring,USD,1900,0%,46%,High,100,1.19,3.40,< 1%
jade engagement ring,USD,1900,-21%,0%,High,100,1.28,4.26,
3 carat cushion cut diamond ring,USD,1900,-16%,0%,High,100,1.59,4.82,3%
pear cut diamond ring,USD,1900,-21%,46%,High,100,1.76,5.31,1%
cushion ring,USD,1900,0%,26%,High,100,1.91,5.34,< 1%
1 carat ring,USD,1900,-21%,0%,High,100,1.24,4.12,3%
five stone diamond ring,USD,1900,-16%,-16%,High,100,1.60,4.82,41%
rose cut diamond ring,USD,1900,-34%,0%,High,100,0.92,3.56,30%
most beautiful engagement rings,USD,1900,-33%,-16%,High,100,1.39,3.57,1%
stainless steel wedding bands,USD,1900,-21%,0%,High,100,0.41,3.26,< 1%
star wars wedding band,USD,1900,0%,-33%,High,100,0.59,2.22,< 1%
turquoise wedding band,USD,1900,-16%,-16%,High,100,0.61,2.48,< 1%
10000 engagement ring,USD,1900,-16%,-33%,High,100,1.25,3.74,2%
4 carat oval diamond ring,USD,1900,0%,50%,High,100,1.77,4.65,3%
